GeneID	TranscriptID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias/Synonyms	EC_number	BUSCO	PFAM	InterPro	EggNog	COG	GO Terms	Secreted	Membrane	Protease	CAZyme	antiSMASH	Notes
H9P43_000603	H9P43_000603-T1	mRNA	c_be_22_1	1662944	1664110	-	GLO2_1	Cytoplasmic glyoxalase II		3.1.2.6		PF00753;PF16123	IPR001279 Metallo-beta-lactamase;IPR032282 Hydroxyacylglutathione hydrolase, C-terminal domain;IPR035680 Hydroxyacylglutathione hydrolase, MBL domain;IPR036866 Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	ENOG503NW99	D:(D) Cell cycle control, cell division, chromosome partitioning;T:(T) Signal transduction mechanisms;Z:(Z) Cytoskeleton							
H9P43_000604	H9P43_000604-T1	mRNA	c_be_22_1	1664413	1665630	-		hypothetical protein				PF00578	IPR000866 Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant;IPR013766 Thioredoxin domain;IPR036249 Thioredoxin-like superfamily	ENOG502T1NE	O:(O) Posttranslational modification, protein turnover, chaperones	GO_function: GO:0016209 - antioxidant activity [Evidence IEA];GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]						
H9P43_000605	H9P43_000605-T1	mRNA	c_be_22_1	1665929	1666881	-		hypothetical protein				PF10294	IPR019410 Lysine methyltransferase;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily	ENOG503P9IJ	A:(A) RNA processing and modification							
H9P43_000606	H9P43_000606-T1	mRNA	c_be_22_1	1666914	1669736	-		hypothetical protein					IPR011993 PH-like domain superfamily;IPR029071 Ubiquitin-like domain superfamily	ENOG503Q4AK								
H9P43_000607	H9P43_000607-T1	mRNA	c_be_22_1	1670366	1675321	+	HRD3	ERAD-associated protein				PF08238;PF13302	IPR000182 GNAT domain;IPR006597 Sel1-like repeat;IPR011990 Tetratricopeptide-like helical domain superfamily;IPR016181 Acyl-CoA N-acyltransferase	ENOG503NYAN	M:(M) Cell wall/membrane/envelope biogenesis;O:(O) Posttranslational modification, protein turnover, chaperones;T:(T) Signal transduction mechanisms	GO_function: GO:0016407 - acetyltransferase activity [Evidence IEA];GO_function: GO:0005515 - protein binding [Evidence IEA]						
H9P43_000608	H9P43_000608-T1	mRNA	c_be_22_1	1675890	1677609	+		hypothetical protein				PF00583	IPR000182 GNAT domain;IPR016181 Acyl-CoA N-acyltransferase	ENOG502GMDB	J:(J) Translation, ribosomal structure and biogenesis	GO_function: GO:0016407 - acetyltransferase activity [Evidence IEA]						
H9P43_000609	H9P43_000609-T1	mRNA	c_be_22_1	1677698	1679506	-		hypothetical protein				PF00067	IPR001128 Cytochrome P450;IPR002401 Cytochrome P450, E-class, group I;IPR036396 Cytochrome P450 superfamily	ENOG503NXAM	I:(I) Lipid transport and metabolism;Q:(Q) Secondary metabolites biosynthesis, transport and catabolism	GO_function: GO:0020037 - heme binding [Evidence IEA];GO_function: GO:0005506 - iron ion binding [Evidence IEA];GO_function: GO:0016705 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [Evidence IEA];GO_function: GO:0004497 - monooxygenase activity [Evidence IEA]						
H9P43_000610	H9P43_000610-T1	mRNA	c_be_22_1	1680070	1683569	-		hypothetical protein														
H9P43_000611	H9P43_000611-T1	mRNA	c_be_22_1	1684513	1687540	+		hypothetical protein				PF00003;PF01094;PF13458	IPR001828 Receptor, ligand binding region;IPR002455 GPCR family 3, GABA-B receptor;IPR017978 GPCR family 3, C-terminal;IPR028082 Periplasmic binding protein-like I	ENOG50KOG1055	S:(S) Function unknown	GO_component: GO:0016021 - integral component of membrane [Evidence IEA];GO_function: GO:0004965 - G protein-coupled GABA receptor activity [Evidence IEA];GO_function: GO:0004930 - G protein-coupled receptor activity [Evidence IEA];GO_process: GO:0007186 - G protein-coupled receptor signaling pathway [Evidence IEA]	SignalP(1-21,cutsite=VLA-TN,prob=0.6883)					
H9P43_000612	H9P43_000612-T1	mRNA	c_be_22_1	1688690	1691749	+		hypothetical protein														
H9P43_000613	H9P43_000613-T1	mRNA	c_be_22_1	1691854	1694672	-		hypothetical protein				PF00003;PF01094;PF13458	IPR001828 Receptor, ligand binding region;IPR002455 GPCR family 3, GABA-B receptor;IPR017978 GPCR family 3, C-terminal;IPR028082 Periplasmic binding protein-like I	ENOG50KOG1055	S:(S) Function unknown	GO_component: GO:0016021 - integral component of membrane [Evidence IEA];GO_function: GO:0004965 - G protein-coupled GABA receptor activity [Evidence IEA];GO_function: GO:0004930 - G protein-coupled receptor activity [Evidence IEA];GO_process: GO:0007186 - G protein-coupled receptor signaling pathway [Evidence IEA]						
H9P43_000614	H9P43_000614-T1	mRNA	c_be_22_1	1697104	1698804	+	RBG2	Ribosome-interacting GTPase 2				PF01926;PF02421;PF02824;PF16897	IPR004095 TGS;IPR005225 Small GTP-binding protein domain;IPR006073 GTP binding domain;IPR006074 GTP1/OBG, conserved site;IPR012675 Beta-grasp domain superfamily;IPR012676 TGS-like;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR031167 OBG-type guanine nucleotide-binding (G) domain;IPR031662 GTP binding protein, second domain;IPR045001 Developmentally regulated GTP-binding protein	ENOG503NU94	T:(T) Signal transduction mechanisms	GO_function: GO:0003924 - GTPase activity [Evidence IEA];GO_function: GO:0005525 - GTP binding [Evidence IEA]						
H9P43_000615	H9P43_000615-T1	mRNA	c_be_22_1	1699111	1699902	+		hypothetical protein														
H9P43_000616	H9P43_000616-T1	mRNA	c_be_22_1	1700242	1703296	+	SEC26	coatomer subunit beta			EOG092C0QZM	PF01602;PF07718;PF12717;PF14806	IPR002553 Clathrin/coatomer adaptor, adaptin-like, N-terminal;IPR011710 Coatomer beta subunit, C-terminal;IPR011989 Armadillo-like helical;IPR016024 Armadillo-type fold;IPR016460 Coatomer beta subunit (COPB1);IPR029446 Coatomer beta subunit, appendage platform domain	ENOG503NU7Q	U:(U) Intracellular trafficking, secretion, and vesicular transport	GO_component: GO:0005737 - cytoplasm [Evidence IEA];GO_component: GO:0030117 - membrane coat [Evidence IEA];GO_component: GO:0030126 - COPI vesicle coat [Evidence IEA];GO_function: GO:0005198 - structural molecule activity [Evidence IEA];GO_process: GO:0006886 - intracellular protein transport [Evidence IEA];GO_process: GO:0016192 - vesicle-mediated transport [Evidence IEA]						
H9P43_000617	H9P43_000617-T1	mRNA	c_be_22_1	1703565	1704740	+		hypothetical protein				PF01398;PF13012	IPR000555 JAB1/MPN/MOV34 metalloenzyme domain;IPR024969 Rpn11/EIF3F, C-terminal;IPR033859 COP9 signalosome subunit 6	ENOG503NW2Z	O:(O) Posttranslational modification, protein turnover, chaperones;T:(T) Signal transduction mechanisms	GO_component: GO:0008180 - COP9 signalosome [Evidence IEA];GO_function: GO:0005515 - protein binding [Evidence IEA];GO_function: GO:0070122 - obsolete isopeptidase activity [Evidence IEA];GO_function: GO:0008237 - metallopeptidase activity [Evidence IEA];GO_process: GO:0000338 - protein deneddylation [Evidence IEA]			M67A			
H9P43_000618	H9P43_000618-T1	mRNA	c_be_22_1	1704938	1706035	+		hypothetical protein				PF01569	IPR000326 Phosphatidic acid phosphatase type 2/haloperoxidase;IPR036938 Phosphatidic acid phosphatase type 2/haloperoxidase superfamily;IPR043216 Phosphatidate (PA) phosphatase-related	ENOG503NW3V	I:(I) Lipid transport and metabolism	GO_process: GO:0006644 - phospholipid metabolic process [Evidence IEA]						
H9P43_000619	H9P43_000619-T1	mRNA	c_be_22_1	1706090	1708574	-		hypothetical protein				PF00067;PF01641	IPR001128 Cytochrome P450;IPR002403 Cytochrome P450, E-class, group IV;IPR002579 Peptide methionine sulphoxide reductase MrsB domain;IPR011057 Mss4-like superfamily;IPR028427 Peptide methionine sulfoxide reductase MsrB;IPR036396 Cytochrome P450 superfamily	ENOG503NXAM	I:(I) Lipid transport and metabolism;Q:(Q) Secondary metabolites biosynthesis, transport and catabolism	GO_function: GO:0033743 - peptide-methionine (R)-S-oxide reductase activity [Evidence IEA];GO_function: GO:0016671 - oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [Evidence IEA];GO_function: GO:0004497 - monooxygenase activity [Evidence IEA];GO_function: GO:0020037 - heme binding [Evidence IEA];GO_function: GO:0005506 - iron ion binding [Evidence IEA];GO_function: GO:0016705 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [Evidence IEA];GO_process: GO:0030091 - protein repair [Evidence IEA];GO_process: GO:0006979 - response to oxidative stress [Evidence IEA]						
H9P43_000620	H9P43_000620-T1	mRNA	c_be_22_1	1708806	1709438	+		hypothetical protein				PF13302	IPR000182 GNAT domain;IPR016181 Acyl-CoA N-acyltransferase	ENOG502V4VM	E:(E) Amino acid transport and metabolism;J:(J) Translation, ribosomal structure and biogenesis	GO_function: GO:0016407 - acetyltransferase activity [Evidence IEA]						
H9P43_000621	H9P43_000621-T1	mRNA	c_be_22_1	1710243	1712179	+		hypothetical protein					IPR011701 Major facilitator superfamily;IPR020846 Major facilitator superfamily domain;IPR036259 MFS transporter superfamily	ENOG503PBKN	E:(E) Amino acid transport and metabolism;G:(G) Carbohydrate transport and metabolism;P:(P) Inorganic ion transport and metabolism	GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]						
H9P43_000622	H9P43_000622-T1	mRNA	c_be_22_1	1712805	1714125	+		hypothetical protein				PF01145	IPR001107 Band 7 domain;IPR001972 Stomatin/HflK/HflC family;IPR036013 Band 7/SPFH domain superfamily;IPR043202 Band-7 stomatin-like	ENOG503NX6K	C:(C) Energy production and conversion	GO_component: GO:0016020 - membrane [Evidence IEA];GO_component: GO:0005886 - plasma membrane [Evidence IEA]						
H9P43_000623	H9P43_000623-T1	mRNA	c_be_22_1	1714228	1715933	-		hypothetical protein					IPR001680 WD40 repeat;IPR011047 Quinoprotein alcohol dehydrogenase-like superfamily;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR045260 Guanine nucleotide-exchange factor Sec12-like	ENOG503P1FC	U:(U) Intracellular trafficking, secretion, and vesicular transport	GO_function: GO:0005515 - protein binding [Evidence IEA];GO_function: GO:0005085 - guanyl-nucleotide exchange factor activity [Evidence IEA]						
H9P43_000624	H9P43_000624-T1	mRNA	c_be_22_1	1718951	1720416	+		hypothetical protein					IPR036964 Ras guanine-nucleotide exchange factor, catalytic domain superfamily			GO_function: GO:0005085 - guanyl-nucleotide exchange factor activity [Evidence IEA];GO_process: GO:0007264 - small GTPase mediated signal transduction [Evidence IEA]						
H9P43_000625	H9P43_000625-T1	mRNA	c_be_22_1	1721198	1721929	+		hypothetical protein														
H9P43_000626	H9P43_000626-T1	mRNA	c_be_22_1	1722669	1723904	-	MCA1_1	Ca(2+)-dependent cysteine protease				PF00656	IPR029030 Caspase-like domain superfamily	ENOG503NW3X	D:(D) Cell cycle control, cell division, chromosome partitioning;O:(O) Posttranslational modification, protein turnover, chaperones				C14B			
H9P43_000627	H9P43_000627-T1	mRNA	c_be_22_1	1724771	1730677	-		hypothetical protein														
H9P43_000628	H9P43_000628-T1	mRNA	c_be_22_1	1731335	1736379	-	CDC6	AAA ATPase				PF13191	IPR024662 Trafficking protein particle complex II-specific subunit 65;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR041664 Orc1-like, AAA ATPase domain	ENOG503NWCF	L:(L) Replication, recombination and repair	GO_component: GO:1990071 - TRAPPII protein complex [Evidence IEA];GO_process: GO:0006891 - intra-Golgi vesicle-mediated transport [Evidence IEA]						
H9P43_000629	H9P43_000629-T1	mRNA	c_be_22_1	1736763	1738023	-	ADH5	NAD/NADP dependent alcohol dehydrogenase				PF00107;PF08240	IPR002328 Alcohol dehydrogenase, zinc-type, conserved site;IPR011032 GroES-like superfamily;IPR013149 Alcohol dehydrogenase-like, C-terminal;IPR013154 Alcohol dehydrogenase, N-terminal;IPR014183 Alcohol dehydrogenase class III;IPR036291 NAD(P)-binding domain superfamily	ENOG503NVMR	Q:(Q) Secondary metabolites biosynthesis, transport and catabolism	GO_function: GO:0051903 - S-(hydroxymethyl)glutathione dehydrogenase activity [Evidence IEA];GO_function: GO:0008270 - zinc ion binding [Evidence IEA];GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA];GO_process: GO:0006069 - ethanol oxidation [Evidence IEA]						
H9P43_000630	H9P43_000630-T1	mRNA	c_be_22_1	1738291	1738849	+		hypothetical protein					IPR013087 Zinc finger C2H2-type;IPR026939 ZNF706/At2g23090 superfamily;IPR045230 Zinc finger protein MBS1/2-like	ENOG503P8MF	S:(S) Function unknown							
H9P43_000631	H9P43_000631-T1	mRNA	c_be_22_1	1739226	1741745	+		hypothetical protein				PF00400	IPR001680 WD40 repeat;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR036322 WD40-repeat-containing domain superfamily	ENOG503PCFP	Z:(Z) Cytoskeleton	GO_function: GO:0005515 - protein binding [Evidence IEA]						
H9P43_000632	H9P43_000632-T1	mRNA	c_be_22_1	1741922	1742812	-		hypothetical protein									SignalP(1-29,cutsite=IHA-AP,prob=0.6801)					
H9P43_000633	H9P43_000633-T1	mRNA	c_be_22_1	1744021	1746425	+	SLP2	Synaptotagmin-like protein 2				PF01145;PF01907;PF16200	IPR001107 Band 7 domain;IPR001569 Ribosomal protein L37e;IPR001972 Stomatin/HflK/HflC family;IPR011331 Ribosomal protein L37ae/L37e;IPR011332 Zinc-binding ribosomal protein;IPR018267 Ribosomal protein L37e, conserved site;IPR032435 Band 7, C-terminal extension;IPR036013 Band 7/SPFH domain superfamily	ENOG503NX7K	C:(C) Energy production and conversion	GO_component: GO:0016020 - membrane [Evidence IEA];GO_component: GO:0005840 - ribosome [Evidence IEA];GO_function: GO:0003735 - structural constituent of ribosome [Evidence IEA];GO_process: GO:0006412 - translation [Evidence IEA]			I87			
H9P43_000634	H9P43_000634-T1	mRNA	c_be_22_1	1746730	1749933	-	ATG9	autophagy protein atg9				PF04109	IPR007241 Autophagy-related protein 9	ENOG503NXZS	U:(U) Intracellular trafficking, secretion, and vesicular transport	GO_process: GO:0006914 - autophagy [Evidence IEA]						
H9P43_000635	H9P43_000635-T1	mRNA	c_be_22_1	1750395	1750790	-		hypothetical protein														
H9P43_000636	H9P43_000636-T1	mRNA	c_be_22_1	1751532	1753460	-		hypothetical protein				PF15619	IPR026188 Lebercilin-like;IPR028933 Lebercilin domain	ENOG503PI57	S:(S) Function unknown							
H9P43_000637	H9P43_000637-T1	mRNA	c_be_22_1	1753989	1757464	+	SPT5	transcription elongation factor spt5			EOG092C0OA7	PF00467;PF03439;PF11942	IPR005100 NGN domain;IPR005824 KOW;IPR005825 Ribosomal protein L24/L26, conserved site;IPR008991 Translation protein SH3-like domain superfamily;IPR014722 Ribosomal protein L2, domain 2;IPR017071 Transcription elongation factor Spt5, eukaryote;IPR022581 Spt5 transcription elongation factor, N-terminal;IPR036735 NusG, N-terminal domain superfamily;IPR039385 NGN domain, eukaryotic;IPR039659 Transcription elongation factor SPT5;IPR041973 Spt5, KOW domain repeat 1;IPR041976 Spt5, KOW domain repeat 3	ENOG503NUM8	K:(K) Transcription	GO_component: GO:0005840 - ribosome [Evidence IEA];GO_function: GO:0003735 - structural constituent of ribosome [Evidence IEA];GO_process: GO:0006412 - translation [Evidence IEA];GO_process: GO:0032784 - regulation of DNA-templated transcription, elongation [Evidence IEA];GO_process: GO:0006357 - regulation of transcription by RNA polymerase II [Evidence IEA];GO_process: GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]						
H9P43_000638	H9P43_000638-T1	mRNA	c_be_22_1	1757646	1758635	-		hypothetical protein														
H9P43_000639	H9P43_000639-T1	mRNA	c_be_22_1	1759077	1760610	-	RVB2	RuvB-like protein 2		3.6.4.12		PF06068;PF17856	IPR003593 AAA+ ATPase domain;IPR010339 TIP49, P-loop domain;IPR027238 RuvB-like;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR037942 RuvB-like helicase 2;IPR041048 RuvB-like, AAA-lid domain;IPR042487 RuvBL1/2, DNA/RNA binding domain	ENOG503NVB1	L:(L) Replication, recombination and repair	GO_component: GO:0097255 - R2TP complex [Evidence IEA];GO_component: GO:0035267 - NuA4 histone acetyltransferase complex [Evidence IEA];GO_component: GO:0031011 - Ino80 complex [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0008094 - ATP-dependent activity, acting on DNA [Evidence IEA]						
H9P43_000640	H9P43_000640-T1	mRNA	c_be_22_1	1761003	1761551	+	KXD1	KxDL motif-containing protein 1				PF10241	IPR019371 Uncharacterised domain KxDL	ENOG50KOG3443	J:(J) Translation, ribosomal structure and biogenesis							
H9P43_000641	H9P43_000641-T1	mRNA	c_be_22_1	1761831	1762245	-		hypothetical protein														
H9P43_000642	H9P43_000642-T1	mRNA	c_be_22_1	1763496	1767939	-		hypothetical protein				PF00005;PF00664	IPR003439 ABC transporter-like, ATP-binding domain;IPR003593 AAA+ ATPase domain;IPR011527 ABC transporter type 1, transmembrane domain;IPR017871 ABC transporter-like, conserved site;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR030244 Oligomycin resistance ATP-dependent permease Yor1;IPR036640 ABC transporter type 1, transmembrane domain superfamily;IPR044726 ABC transporter C family, six-transmembrane helical domain 2;IPR044746 ABC transporter C family, six-transmembrane helical domain 1	ENOG503P0RV	Q:(Q) Secondary metabolites biosynthesis, transport and catabolism	GO_component: GO:0016021 - integral component of membrane [Evidence IEA];GO_function: GO:0140359 - ABC-type transporter activity [Evidence IEA];GO_function: GO:0008559 - ABC-type xenobiotic transporter activity [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA];GO_process: GO:0042908 - xenobiotic transport [Evidence IEA]						
H9P43_000643	H9P43_000643-T1	mRNA	c_be_22_1	1768432	1769193	-		hypothetical protein									SignalP(1-27,cutsite=AKA-DP,prob=0.3346)					
H9P43_000644	H9P43_000644-T1	mRNA	c_be_22_1	1769906	1774262	+		hypothetical protein				PF00368	IPR002202 Hydroxymethylglutaryl-CoA reductase, class I/II;IPR004553 Hydroxymethylglutaryl-CoA reductase, bacterial-type;IPR009023 Hydroxymethylglutaryl-CoA reductase, class I/II, NAD/NADP-binding domain superfamily;IPR009029 Hydroxymethylglutaryl-CoA reductase, class I/II, substrate-binding domain superfamily;IPR023074 Hydroxymethylglutaryl-CoA reductase, class I/II, catalytic domain superfamily;IPR023076 Hydroxymethylglutaryl-CoA reductase, class I/II, conserved site	ENOG503P0B8	E:(E) Amino acid transport and metabolism	GO_function: GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [Evidence IEA];GO_function: GO:0004420 - hydroxymethylglutaryl-CoA reductase (NADPH) activity [Evidence IEA];GO_process: GO:0015936 - coenzyme A metabolic process [Evidence IEA]						
H9P43_000645	H9P43_000645-T1	mRNA	c_be_22_1	1774799	1775841	+		hypothetical protein		1.1.1.146		PF00106;PF13561	IPR002347 Short-chain dehydrogenase/reductase SDR;IPR020904 Short-chain dehydrogenase/reductase, conserved site;IPR036291 NAD(P)-binding domain superfamily	ENOG503P4HG	Q:(Q) Secondary metabolites biosynthesis, transport and catabolism	GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA]						
H9P43_000646	H9P43_000646-T1	mRNA	c_be_22_1	1775885	1777526	-	MRS2	magnesium ion transporter					IPR039204 Magnesium transporter MRS2-like	ENOG503NWQA	P:(P) Inorganic ion transport and metabolism							
H9P43_000647	H9P43_000647-T1	tRNA	c_be_22_1	1777897	1777967	-		tRNA-Gly														
H9P43_000648	H9P43_000648-T1	mRNA	c_be_22_1	1778483	1779174	-	RAM1_1	CAAX farnesyltransferase (FTase) subunit beta		2.5.1.58		PF00432	IPR001330 PFTB repeat;IPR008930 Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid;IPR026872 Protein farnesyltransferase subunit beta;IPR045089 Prenyltransferase subunit beta	ENOG503NU8I	O:(O) Posttranslational modification, protein turnover, chaperones	GO_component: GO:0005965 - protein farnesyltransferase complex [Evidence IEA];GO_function: GO:0003824 - catalytic activity [Evidence IEA];GO_function: GO:0008318 - protein prenyltransferase activity [Evidence IEA];GO_process: GO:0018343 - protein farnesylation [Evidence IEA]						
H9P43_000649	H9P43_000649-T1	mRNA	c_be_22_1	1779964	1781088	+		hypothetical protein				PF00656	IPR029030 Caspase-like domain superfamily	ENOG503PCCQ	D:(D) Cell cycle control, cell division, chromosome partitioning;O:(O) Posttranslational modification, protein turnover, chaperones				C14B			
H9P43_000650	H9P43_000650-T1	mRNA	c_be_22_1	1781435	1782757	-		hypothetical protein														
H9P43_000651	H9P43_000651-T1	tRNA	c_be_22_1	1783674	1783744	+		tRNA-Gly														
H9P43_000652	H9P43_000652-T1	mRNA	c_be_22_1	1784128	1786351	-	FAA2_1	medium-chain fatty acid-CoA ligase faa2		6.2.1.3		PF00501	IPR000873 AMP-dependent synthetase/ligase;IPR020845 AMP-binding, conserved site;IPR025110 AMP-binding enzyme, C-terminal domain;IPR042099 ANL, N-terminal domain;IPR045311 Long-chain fatty acid CoA synthetase, eukaryotic	ENOG503NUAR	I:(I) Lipid transport and metabolism	GO_function: GO:0004467 - long-chain fatty acid-CoA ligase activity [Evidence IEA];GO_process: GO:0006631 - fatty acid metabolic process [Evidence IEA]						
H9P43_000653	H9P43_000653-T1	mRNA	c_be_22_1	1788237	1790088	+		hypothetical protein														
H9P43_000654	H9P43_000654-T1	mRNA	c_be_22_1	1790583	1792141	+		hypothetical protein					IPR015915 Kelch-type beta propeller			GO_function: GO:0005515 - protein binding [Evidence IEA]	SignalP(1-25,cutsite=AAA-GP,prob=0.9012)					
H9P43_000655	H9P43_000655-T1	mRNA	c_be_22_1	1792715	1794298	+		hypothetical protein									SignalP(1-24,cutsite=AAA-GP,prob=0.8613)					
H9P43_000656	H9P43_000656-T1	mRNA	c_be_22_1	1794352	1796487	-		hypothetical protein				PF00046;PF05920	IPR001356 Homeobox domain;IPR008422 Homeobox KN domain;IPR009057 Homeobox-like domain superfamily	ENOG50KOG0773	K:(K) Transcription	GO_function: GO:0003677 - DNA binding [Evidence IEA];GO_process: GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]						
H9P43_000657	H9P43_000657-T1	mRNA	c_be_22_1	1796833	1799121	-		hypothetical protein					IPR042859 Nucleolar protein 11			GO_process: GO:0030490 - maturation of SSU-rRNA [Evidence IEA]						
H9P43_000658	H9P43_000658-T1	mRNA	c_be_22_1	1799586	1800976	+	lag1_1	Sphingosine N-acyltransferase lag1		2.3.1.24		PF03798;PF08390	IPR006634 TRAM/LAG1/CLN8 homology domain;IPR013599 TRAM1-like protein;IPR016439 Sphingosine N-acyltransferase Lag1/Lac1-like	ENOG503NYZN	U:(U) Intracellular trafficking, secretion, and vesicular transport	GO_component: GO:0016021 - integral component of membrane [Evidence IEA];GO_function: GO:0050291 - sphingosine N-acyltransferase activity [Evidence IEA];GO_process: GO:0046513 - ceramide biosynthetic process [Evidence IEA]						
H9P43_000659	H9P43_000659-T1	mRNA	c_be_22_1	1801475	1807203	+		hypothetical protein		2.7.11.1	EOG092C4RWB	PF00069;PF07690;PF07714	IPR000719 Protein kinase domain;IPR008271 Serine/threonine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily;IPR011701 Major facilitator superfamily;IPR017441 Protein kinase, ATP binding site;IPR036259 MFS transporter superfamily	ENOG503Q51P	T:(T) Signal transduction mechanisms	GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_function: GO:0004672 - protein kinase activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA];GO_process: GO:0006468 - protein phosphorylation [Evidence IEA]						
H9P43_000660	H9P43_000660-T1	mRNA	c_be_22_1	1807681	1810715	+		hypothetical protein		1.2.3.15		PF01822	IPR002889 Carbohydrate-binding WSC	ENOG503NZH6	G:(G) Carbohydrate transport and metabolism;O:(O) Posttranslational modification, protein turnover, chaperones		SignalP(1-26,cutsite=AHA-AD,prob=0.9312)					
H9P43_000661	H9P43_000661-T1	mRNA	c_be_22_1	1810756	1812562	-	taf6	histone H4-like TAF Taf6, SAGA complex subunit			EOG092C0TYK	PF02969;PF07571	IPR004823 TATA box binding protein associated factor (TAF), histone-like fold domain;IPR009072 Histone-fold;IPR011442 TAF6, C-terminal HEAT repeat domain;IPR016024 Armadillo-type fold;IPR037796 Transcription initiation factor TFIID subunit 6;IPR046344 TAF6, C-terminal HEAT repeat domain superfamily	ENOG503NV9P	K:(K) Transcription	GO_component: GO:0000124 - SAGA complex [Evidence IEA];GO_component: GO:0046695 - SLIK (SAGA-like) complex [Evidence IEA];GO_component: GO:0005669 - transcription factor TFIID complex [Evidence IEA];GO_function: GO:0016251 - RNA polymerase II general transcription initiation factor activity [Evidence IEA];GO_function: GO:0046982 - protein heterodimerization activity [Evidence IEA];GO_process: GO:0006367 - transcription initiation from RNA polymerase II promoter [Evidence IEA]						
H9P43_000662	H9P43_000662-T1	mRNA	c_be_22_1	1812956	1814283	+	CDA2	chitin deacetylase		3.5.1.41		PF01522	IPR002509 NodB homology domain;IPR011330 Glycoside hydrolase/deacetylase, beta/alpha-barrel	ENOG503NWJ2	G:(G) Carbohydrate transport and metabolism	GO_function: GO:0016810 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [Evidence IEA];GO_process: GO:0005975 - carbohydrate metabolic process [Evidence IEA]						
H9P43_000663	H9P43_000663-T1	mRNA	c_be_22_1	1817008	1817688	+		hypothetical protein		4.2.1.1		PF00484	IPR001765 Carbonic anhydrase;IPR015892 Carbonic anhydrase, prokaryotic-like, conserved site;IPR036874 Carbonic anhydrase superfamily	ENOG5039UQV	P:(P) Inorganic ion transport and metabolism	GO_function: GO:0008270 - zinc ion binding [Evidence IEA];GO_function: GO:0004089 - carbonate dehydratase activity [Evidence IEA];GO_process: GO:0015976 - carbon utilization [Evidence IEA]						
H9P43_000664	H9P43_000664-T1	mRNA	c_be_22_1	1817853	1818276	-		hypothetical protein					IPR009018 Signal recognition particle, SRP9/SRP14 subunit			GO_component: GO:0048500 - signal recognition particle [Evidence IEA];GO_function: GO:0008312 - 7S RNA binding [Evidence IEA];GO_process: GO:0006614 - SRP-dependent cotranslational protein targeting to membrane [Evidence IEA]						
H9P43_000665	H9P43_000665-T1	mRNA	c_be_22_1	1818860	1822762	+	SEC31	protein transport protein S31				PF00400;PF07304	IPR001680 WD40 repeat;IPR009917 SRA1/Sec31;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR036322 WD40-repeat-containing domain superfamily;IPR040251 Protein transport protein SEC31-like	ENOG503NW7P	U:(U) Intracellular trafficking, secretion, and vesicular transport	GO_function: GO:0005515 - protein binding [Evidence IEA];GO_process: GO:0006888 - endoplasmic reticulum to Golgi vesicle-mediated transport [Evidence IEA]						
H9P43_000666	H9P43_000666-T1	mRNA	c_be_22_1	1822933	1824483	-		hypothetical protein				PF07859	IPR013094 Alpha/beta hydrolase fold-3;IPR029058 Alpha/Beta hydrolase fold	ENOG503NVS4	I:(I) Lipid transport and metabolism	GO_function: GO:0016787 - hydrolase activity [Evidence IEA]			S09X	CE10		
H9P43_000667	H9P43_000667-T1	mRNA	c_be_22_1	1825256	1825700	+	nrf1	GTPase regulator Nrf1				PF02656	IPR003807 Domain of unknown function DUF202	ENOG503P2Q0	O:(O) Posttranslational modification, protein turnover, chaperones;U:(U) Intracellular trafficking, secretion, and vesicular transport							
