Seq. Name	Seq. Description	Seq. Length	#Hits	min. eValue	mean Similarity	#GOs	GOs	Enzyme Codes	InterProScan
Be3_614	cysteine peptidase c50	1697	5	3.52937E-54	45.0%	4	C:nucleus; P:protein metabolic process; P:catabolic process; F:peptidase activity		IPR005314	
Be3_615	---NA---	1696	0			0	-		no IPS match	
Be3_616	rad3-like dna-binding helicase protein	1691	5	3.41971E-52	53.2%	6	P:biological_process; C:mitochondrion; F:hydrolase activity; F:DNA binding; F:nucleotide binding; C:chromosome	(3.6) Acting on acid anhydrides	IPR000504; IPR006554; IPR006630; IPR010614; IPR011991; IPR012677; IPR014013; G3DSA:3.40.50.300 (GENE3D), PTHR11472 (PANTHER), PTHR11472:SF6 (PANTHER), SSF46785 (SUPERFAMILY), SSF52540 (SUPERFAMILY), SSF54928 (SUPERFAMILY)	
Be3_617	multidrug resistance-associated protein 4-like	1691	5	0.0	55.6%	4	F:nucleotide binding; C:cell; P:transport; F:hydrolase activity		IPR001140; IPR003439; IPR003593; IPR011527; IPR017871; IPR017940; G3DSA:1.20.1560.10 (GENE3D), G3DSA:3.40.50.300 (GENE3D), PTHR24223 (PANTHER), PS51257 (PROFILE), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM), SSF52540 (SUPERFAMILY)	
Be3_618	---NA---	1691	0			0	-		no IPS match	
Be3_619	cysteine peptidase c50	1691	5	7.77087E-55	45.2%	4	C:nucleus; P:protein metabolic process; P:catabolic process; F:peptidase activity		IPR005314	
Be3_620	finger protein azf1	1690	5	3.17034E-40	66.8%	4	F:protein binding; F:binding; F:nucleic acid binding; C:intracellular		IPR000095; IPR007087; IPR013087; IPR015880; G3DSA:3.90.810.10 (GENE3D), PTHR24387 (PANTHER), PF13465 (PFAM), SSF57667 (SUPERFAMILY)	
Be3_621	t-complex protein 1 subunit epsilon	1690	5	0.0	89.0%	4	P:protein metabolic process; C:cytoplasm; F:protein binding; F:nucleotide binding	-	IPR002194; IPR002423; IPR012718; IPR017998; G3DSA:1.10.560.10 (GENE3D), G3DSA:3.30.260.10 (GENE3D), G3DSA:3.50.7.10 (GENE3D), SSF52029 (SUPERFAMILY), SSF54849 (SUPERFAMILY)	
Be3_622	protein	1690	5	2.70064E-96	70.6%	1	F:protein binding		IPR002035; PTHR22908 (PANTHER), PTHR22908:SF14 (PANTHER), SSF53300 (SUPERFAMILY)	
Be3_623	1-phosphatidylinositol- -bisphosphate phosphodiesterase delta-4-like	1690	5	1.93329E-74	55.2%	5	F:hydrolase activity; F:calcium ion binding; P:signal transduction; P:catabolic process; P:lipid metabolic process		IPR000909; IPR001192; IPR001711; IPR005135; IPR011992; IPR011993; IPR015359; IPR017946; G3DSA:3.60.10.10 (GENE3D), SSF47473 (SUPERFAMILY)	
Be3_624	alpha- sarcomeric (f-actin cross linking protein)	1689	5	0.0	70.0%	3	F:actin binding; F:calcium ion binding; P:cytoskeleton organization		IPR001589; IPR001680; IPR001715; IPR002048; IPR011992; IPR014837; IPR015943; IPR017986; IPR019775; IPR020472; IPR026921; G3DSA:1.20.58.60 (GENE3D), PTHR11915 (PANTHER), SSF46966 (SUPERFAMILY), SSF47473 (SUPERFAMILY)	
Be3_625	sec7 domain containing protein	1687	5	1.59201E-87	49.6%	3	F:enzyme regulator activity; P:signal transduction; P:biological_process		IPR000904; IPR015403; IPR023394; G3DSA:1.10.220.20 (GENE3D), PTHR10663 (PANTHER), PTHR10663:SF42 (PANTHER)	
Be3_626	---NA---	1687	0			4	F:protein binding; F:transferase activity; P:biosynthetic process; P:metabolic process		IPR002110; IPR003200; IPR020683; G3DSA:3.40.50.10210 (GENE3D), PTHR24198 (PANTHER), PF13637 (PFAM)	
Be3_627	---NA---	1686	0			0	-		no IPS match	
Be3_628	abc transporter	1686	5	1.00844E-69	67.4%	4	F:nucleotide binding; C:cell; P:transport; F:hydrolase activity	(3.6) Acting on acid anhydrides	IPR001140; IPR003439; IPR003593; IPR011527; IPR017871; IPR017940; G3DSA:1.20.1560.10 (GENE3D), G3DSA:3.40.50.300 (GENE3D), PTHR24223 (PANTHER), tmhmm (TMHMM), SSF52540 (SUPERFAMILY)	
Be3_629	---NA---	1685	0			3	P:ion transport; F:transporter activity; P:transport		IPR003445; PTHR31064 (PANTHER), PTHR31064:SF0 (PANTHER)	
Be3_630	---NA---	1685	0			0	-		no IPS match	
Be3_631	lrr-gtpase of the roco family	1684	5	8.213E-17	51.4%	8	F:GTP binding; P:small GTPase mediated signal transduction; F:nucleotide binding; C:intracellular; F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:protein tyrosine kinase activity		G3DSA:3.80.10.10 (GENE3D), PTHR24420 (PANTHER), PTHR24420:SF68 (PANTHER), SSF52058 (SUPERFAMILY)	
Be3_632	---NA---	1684	0			0	-		no IPS match	
Be3_633	sphingosine-1-phosphate lyase 1-like	1681	5	1.78505E-170	70.4%	4	F:protein binding; F:catalytic activity; P:metabolic process; F:binding	-	IPR001680; IPR002129; IPR015421; IPR015422; IPR015424; IPR015943; IPR017986; IPR019775; PTHR11999 (PANTHER), PTHR11999:SF5 (PANTHER)	
Be3_634	hmg box transcription factor	1680	5	2.35E-16	69.8%	1	F:DNA binding		IPR009071	
Be3_635	bimb_emeni cell division-associated protein bimb	1680	5	3.86054E-52	44.0%	4	C:nucleus; P:protein metabolic process; P:catabolic process; F:peptidase activity		IPR005314	
Be3_636	kinase-like protein	1679	5	2.56663E-59	71.2%	5	F:protein kinase activity; F:nucleotide binding; P:cellular protein modification process; C:cell; P:transport		IPR000719; IPR002290; IPR004837; IPR011009; IPR017441; G3DSA:3.30.200.20 (GENE3D), PTHR24360 (PANTHER), PTHR24360:SF3 (PANTHER), tmhmm (TMHMM)	
Be3_637	hypothetical protein BATDEDRAFT_21428	1678	5	3.43692E-52	56.4%	0	-		PS51257 (PROFILE)	
Be3_638	---NA---	1677	0			0	-		tmhmm (TMHMM)	
Be3_639	---NA---	1676	0			0	-		PTHR24761 (PANTHER), PTHR24761:SF3 (PANTHER), tmhmm (TMHMM)	
Be3_640	transmembrane protein	1675	5	1.84098E-20	50.4%	3	P:ion transport; F:transporter activity; P:transport		IPR003445; PTHR31064 (PANTHER), PTHR31064:SF0 (PANTHER), tmhmm (TMHMM)	
Be3_641	hypothetical protein RO3G_13173	1675	5	0.0	74.0%	3	P:metabolic process; P:regulation of biological process; F:binding	-	IPR002015; IPR011989; IPR016024; PTHR10943 (PANTHER), PTHR10943:SF2 (PANTHER), PF13646 (PFAM)	
Be3_642	bimb_emeni cell division-associated protein bimb	1675	5	5.90737E-52	44.0%	4	C:nucleus; P:protein metabolic process; P:catabolic process; F:peptidase activity		IPR005314	
Be3_643	glyceraldehyde-3-phosphate dehydrogenase	1673	5	1.16347E-109	68.4%	7	F:catalytic activity; P:biosynthetic process; ; P:metabolic process; C:cell; P:transport; F:nucleotide binding	(1.2) Acting on the aldehyde or oxo group of donors	IPR000304; IPR008927; IPR011701; IPR016040; IPR016196; IPR020828; IPR020829; IPR020830; IPR020831; G3DSA:1.10.3730.10 (GENE3D), G3DSA:1.20.1250.20 (GENE3D), G3DSA:3.30.360.10 (GENE3D), PTHR10836:SF4 (PANTHER), tmhmm (TMHMM), SSF51735 (SUPERFAMILY), SSF55347 (SUPERFAMILY)	
Be3_644	tbc domain containing protein	1672	5	2.93668E-12	56.4%	3	F:enzyme regulator activity; C:intracellular; P:signal transduction		IPR000195; G3DSA:3.90.1410.10 (GENE3D), PTHR22957 (PANTHER), PTHR22957:SF54 (PANTHER), SSF82199 (SUPERFAMILY)	
Be3_645	---NA---	1672	0			0	-		no IPS match	
Be3_646	cytoplasmic protein	1671	5	3.73354E-101	55.0%	6	F:peptidase activity; P:protein metabolic process; P:catabolic process; F:RNA binding; F:protein binding; P:biological_process		IPR000209; IPR001660; IPR004087; IPR004088; IPR010259; IPR013761; IPR015500; IPR021129; IPR023828; G3DSA:3.30.1370.10 (GENE3D), G3DSA:3.30.70.80 (GENE3D), PTHR10795:SF156 (PANTHER), SignalP-NN(euk) (SIGNALP), SSF54791 (SUPERFAMILY)	
Be3_647	oxoglutarate dehydrogenase (succinyl-transferring) e1 component	1670	5	0.0	78.0%	7	F:catalytic activity; P:generation of precursor metabolites and energy; P:catabolic process; F:binding; ; C:intracellular; C:protein complex		IPR001017; IPR004000; IPR005475; IPR011603; G3DSA:3.30.420.40 (GENE3D), G3DSA:3.40.50.970 (GENE3D), PTHR23152:SF0 (PANTHER), SSF52518 (SUPERFAMILY), SSF53067 (SUPERFAMILY)	
Be3_648	extracellular ligand-binding receptor	1666	5	1.64398E-20	40.2%	6	P:intracellular signal transduction; P:cyclic nucleotide biosynthetic process; F:phosphorus-oxygen lyase activity; P:amino acid transport; F:receptor activity; C:outer membrane-bounded periplasmic space		G3DSA:3.40.50.2300 (GENE3D), PF13458 (PFAM), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM), SSF53822 (SUPERFAMILY)	
Be3_649	dna polymerase zeta catalytic subunit	1666	5	0.0	60.4%	7	F:transferase activity; P:biosynthetic process; P:DNA metabolic process; F:nucleotide binding; F:DNA binding; C:protein complex; C:intracellular		IPR006133; IPR006134; IPR006172; IPR012337; IPR017964; IPR023211; IPR025687; G3DSA:3.30.420.10 (GENE3D), PTHR10322 (PANTHER), PTHR10322:SF5 (PANTHER), SSF56672 (SUPERFAMILY)	
Be3_650	---NA---	1665	0			0	-		tmhmm (TMHMM)	
Be3_651	glutathione transferase family protein	1664	5	2.67669E-30	52.6%	1	F:protein binding		IPR003347; IPR004045; IPR010987; IPR012336; IPR017933; PTHR11571 (PANTHER)	
Be3_652	---NA---	1664	0			6	F:sequence-specific DNA binding transcription factor activity; F:DNA binding; C:nucleoplasm; C:protein complex; ; P:regulation of biological process		IPR001766; IPR011991; SSF46785 (SUPERFAMILY)	
Be3_653	hypothetical protein BATDEDRAFT_10517	1663	5	0.0	66.4%	2	F:hydrolase activity; F:nucleotide binding		IPR001401; IPR012936; IPR019762; IPR020850; IPR022812; G3DSA:3.40.50.300 (GENE3D), PTHR11566:SF11 (PANTHER), PF13850 (PFAM), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM), SSF52540 (SUPERFAMILY)	
Be3_654	domain containing protein	1662	5	3.64068E-34	54.0%	5	F:enzyme regulator activity; C:intracellular; P:signal transduction; F:protein binding; P:biological_process		IPR000219; IPR001611; IPR003591; G3DSA:3.80.10.10 (GENE3D), PTHR12673 (PANTHER), PF13855 (PFAM), SM00364 (SMART), SignalP-NN(euk) (SIGNALP), SSF50729 (SUPERFAMILY), SSF52058 (SUPERFAMILY)	
Be3_655	ATOPT5	1660	5	4.56906E-97	49.8%	1	P:transport		IPR004813; IPR018108; IPR023395; PTHR22601 (PANTHER), tmhmm (TMHMM)	
Be3_656	hypothetical protein RO3G_15325	1660	5	2.2361E-105	65.4%	4	F:nucleotide binding; P:cellular protein modification process; F:protein kinase activity; 		IPR000719; IPR000961; IPR002290; IPR008271; IPR010987; IPR011009; IPR017441; IPR017892; IPR017933; IPR020635; G3DSA:1.10.510.10 (GENE3D), G3DSA:3.30.200.20 (GENE3D), PTHR24351 (PANTHER), tmhmm (TMHMM)	
Be3_657	related to cho2-phosphatidylethanolamine n-methyltransferase	1660	5	6.59392E-16	52.4%	1	F:protein binding		IPR000210; IPR011333; PTHR32138 (PANTHER), PTHR32138:SF0 (PANTHER), tmhmm (TMHMM)	
Be3_658	esterase of the alpha-beta hydrolase superfamily	1659	5	1.26131E-132	59.4%	1	P:lipid metabolic process		IPR002641; IPR011678; IPR016035; IPR021771; IPR026895; PTHR21573:SF0 (PANTHER), SignalP-NN(euk) (SIGNALP)	
Be3_659	---NA---	1659	0			0	-		SSF54928 (SUPERFAMILY)	
Be3_660	fanconi anemia group j	1658	5	1.01757E-40	46.8%	5	F:nucleotide binding; P:nucleobase-containing compound metabolic process; F:DNA binding; F:hydrolase activity; C:chromosome	-	IPR006555; IPR010614; IPR014013; PTHR11472 (PANTHER), PTHR11472:SF6 (PANTHER)	
Be3_661	---NA---	1658	0			2	F:binding; C:intracellular		IPR007087; IPR015880; IPR020683; SignalP-NN(euk) (SIGNALP)	
Be3_662	related to dbp7-rna helicase required for 60s ribosomal subunit assembly	1656	5	1.30173E-68	49.0%	6	F:nucleic acid binding; F:nucleotide binding; F:hydrolase activity; F:protein binding; C:cell; P:transport		IPR000629; IPR000727; IPR001650; IPR010989; IPR011545; IPR014001; IPR025313; G3DSA:1.20.58.70 (GENE3D), G3DSA:3.40.50.300 (GENE3D), PTHR24031 (PANTHER), PTHR24031:SF89 (PANTHER), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM), SSF52540 (SUPERFAMILY)	
Be3_663	udp-xylose and udp-n-acetylglucosamine transporter	1656	5	3.78345E-39	53.8%	1	P:transport		IPR004853; IPR013657; PTHR10778 (PANTHER), PTHR10778:SF4 (PANTHER), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM), SSF103481 (SUPERFAMILY)	
Be3_664	bimb_emeni cell division-associated protein bimb	1655	5	2.96117E-52	44.0%	4	C:nucleus; P:protein metabolic process; P:catabolic process; F:peptidase activity		IPR005314	
Be3_665	g protein alpha subunit	1655	5	9.25193E-161	80.2%	9	F:signal transducer activity; F:nucleotide binding; F:hydrolase activity; F:protein binding; F:receptor binding; P:nucleobase-containing compound metabolic process; P:catabolic process; P:signal transduction; P:biosynthetic process	-	IPR001019; IPR002975; IPR006626; IPR011025; IPR011050; IPR012334; G3DSA:3.40.50.300 (GENE3D), PTHR10218:SF49 (PANTHER), PF13229 (PFAM), tmhmm (TMHMM), SSF52540 (SUPERFAMILY)	
Be3_666	---NA---	1654	0			0	-		no IPS match	
Be3_667	calcium channel protein	1653	5	5.36074E-63	47.4%	4	F:ion channel activity; P:ion transport; C:cell; P:transport		IPR005821; G3DSA:1.20.120.350 (GENE3D), PTHR10037 (PANTHER), PTHR10037:SF40 (PANTHER), tmhmm (TMHMM), SSF81324 (SUPERFAMILY)	
Be3_668	---NA---	1653	0			2	F:nucleic acid binding; F:binding		IPR001878; IPR021109; PF13650 (PFAM)	
Be3_669	hypoxanthine-guanine phosphoribosyltransferase	1653	5	2.46742E-77	74.4%	21	P:cell death; P:nucleobase-containing compound metabolic process; P:catabolic process; P:biosynthetic process; P:regulation of biological process; ; P:cellular component organization; P:response to endogenous stimulus; P:cell differentiation; P:multicellular organismal development; P:behavior; F:transferase activity; P:anatomical structure morphogenesis; P:cell proliferation; F:catalytic activity; C:cytosol; P:carbohydrate metabolic process; F:binding; F:protein binding; P:generation of precursor metabolites and energy; P:secondary metabolic process	(2.4) Glycosyltransferases; (5.4) Intramolecular transferases (mutases)	IPR000836; IPR005904; G3DSA:3.40.50.2020 (GENE3D), PTHR22573 (PANTHER), PTHR22573:SF8 (PANTHER), SSF53271 (SUPERFAMILY)	
Be3_670	---NA---	1652	0			0	-		no IPS match	
Be3_671	hypothetical protein AOL_s00080g118	1652	5	3.65628E-67	44.0%	1	F:protein binding		IPR000008; IPR008973; IPR018029; G3DSA:2.60.40.150 (GENE3D), PTHR10774 (PANTHER), PTHR10774:SF15 (PANTHER), tmhmm (TMHMM)	
Be3_672	sphingosine-1-phosphate lyase 1	1651	5	5.14949E-171	69.0%	4	F:protein binding; F:catalytic activity; P:metabolic process; F:binding	-	IPR001680; IPR002129; IPR015421; IPR015422; IPR015424; IPR015943; IPR017986; IPR019775; PTHR11999 (PANTHER), PTHR11999:SF5 (PANTHER)	
Be3_673	cyclic nucleotide-binding protein	1651	5	4.11456E-30	43.4%	8	F:voltage-gated potassium channel activity; C:integral to membrane; C:membrane; P:transmembrane transport; P:potassium ion transport; P:ion transport; F:ion channel activity; P:transport		IPR000595; IPR014710; IPR018488; IPR018490; G3DSA:1.10.287.630 (GENE3D), PTHR10217 (PANTHER)	
Be3_674	hypothetical protein SELMODRAFT_149478	1650	5	2.13493E-58	53.4%	2	P:cellular protein modification process; F:transferase activity		IPR025799; G3DSA:2.70.160.11 (GENE3D), G3DSA:3.40.50.150 (GENE3D), PTHR11006:SF10 (PANTHER), SSF53335 (SUPERFAMILY)	
Be3_675	catalytic component of the involved in rna processing and degradation	1650	5	0.0	64.2%	12	C:cytosol; P:nucleobase-containing compound metabolic process; P:catabolic process; C:intracellular; C:protein complex; F:enzyme regulator activity; F:protein binding; F:nuclease activity; C:nucleus; P:biological_process; P:regulation of biological process; F:RNA binding	-	IPR001900; IPR006596; IPR006906; IPR022966; G3DSA:3.40.50.1010 (GENE3D), PTHR23355 (PANTHER), PTHR23355:SF13 (PANTHER), PF13638 (PFAM), SSF88723 (SUPERFAMILY)	
Be3_676	exonuclease ii	1650	5	2.57371E-158	62.6%	7	F:nucleotide binding; P:cellular protein modification process; F:nucleic acid binding; F:nuclease activity; C:intracellular; F:protein kinase activity; 		IPR000719; IPR002290; IPR004859; IPR008271; IPR011009; IPR017441; IPR020635; G3DSA:1.10.510.10 (GENE3D), G3DSA:3.30.200.20 (GENE3D), PTHR12341:SF7 (PANTHER)	
Be3_677	protein kti12	1650	5	1.76091E-21	52.4%	0	-		IPR013641; PTHR12435 (PANTHER), PTHR12435:SF0 (PANTHER), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM)	
Be3_678	dynein light chain cytoplasmic isoform 2	1649	5	1.8277E-40	97.8%	10	C:cytoskeleton; C:protein complex; P:biological_process; F:nucleotide binding; P:signal transduction; P:protein transport; F:hydrolase activity; P:nucleobase-containing compound metabolic process; P:catabolic process; C:cell		IPR001372; IPR001806; IPR003579; IPR019763; IPR020849; G3DSA:3.40.50.300 (GENE3D), G3DSA:3.80.10.10 (GENE3D), PTHR11886:SF21 (PANTHER), PF13516 (PFAM), PS51419 (PROFILE), SSF52047 (SUPERFAMILY), SSF52540 (SUPERFAMILY)	
Be3_679	spermatogenesis-associated protein 5 isoform 1	1648	5	0.0	69.2%	5	F:receptor activity; P:signal transduction; C:cell; F:hydrolase activity; F:nucleotide binding		IPR000337; IPR001828; IPR003593; IPR003959; IPR003960; G3DSA:1.10.8.60 (GENE3D), G3DSA:3.40.50.2300 (GENE3D), G3DSA:3.40.50.300 (GENE3D), PTHR23077 (PANTHER), PTHR23077:SF19 (PANTHER), SSF52540 (SUPERFAMILY), SSF53822 (SUPERFAMILY)	
Be3_680	---NA---	1647	0			0	-		tmhmm (TMHMM)	
Be3_681	cysteine proteinase	1647	2	4.21734E-12	47.5%	4	F:hydrolase activity; P:protein metabolic process; P:catabolic process; P:cellular protein modification process		IPR001394; IPR018200; G3DSA:3.40.50.300 (GENE3D), PTHR24006 (PANTHER), SSF52540 (SUPERFAMILY), SSF54001 (SUPERFAMILY)	
Be3_682	epoxide hydrolase	1645	5	3.79163E-44	48.0%	1	F:catalytic activity		IPR000639; G3DSA:3.40.50.1820 (GENE3D), PTHR10992 (PANTHER), PTHR10992:SF22 (PANTHER), PF12697 (PFAM), SSF53474 (SUPERFAMILY)	
Be3_683	---NA---	1645	0			1	F:protein binding		IPR000697; IPR011993; PTHR12779 (PANTHER), PTHR12779:SF0 (PANTHER), SSF50729 (SUPERFAMILY)	
Be3_684	glycoside hydrolase family 13 protein	1643	5	0.0	55.0%	4	F:catalytic activity; P:biosynthetic process; P:carbohydrate metabolic process; P:generation of precursor metabolites and energy		IPR008928; IPR010401; IPR013781; IPR017853	
Be3_685	viral atype inclusion protein	1643	5	1.5316E-34	81.0%	1	F:protein binding		IPR001202; G3DSA:2.20.70.10 (GENE3D), PTHR21715 (PANTHER), PTHR21715:SF0 (PANTHER)	
Be3_686	---NA---	1643	0			0	-		PTHR24015 (PANTHER)	
Be3_687	sec7 domain containing protein	1643	5	2.2861E-88	50.6%	3	F:enzyme regulator activity; P:signal transduction; P:biological_process		IPR000904; IPR015403; IPR023394; G3DSA:1.10.220.20 (GENE3D), PTHR10663 (PANTHER), PTHR10663:SF42 (PANTHER), PF12783 (PFAM)	
Be3_688	hypothetical protein AOL_s00080g118	1643	5	5.67431E-67	44.0%	1	F:protein binding		IPR000008; IPR008973; IPR018029; G3DSA:2.60.40.150 (GENE3D), PTHR10774 (PANTHER), PTHR10774:SF15 (PANTHER), tmhmm (TMHMM)	
Be3_689	-domain-containing protein	1641	5	4.12662E-63	70.4%	0	-		IPR001623; IPR008985; IPR018253; PTHR24078 (PANTHER), PTHR24078:SF3 (PANTHER)	
Be3_690	hypothetical protein BATDEDRAFT_34848	1640	5	1.3529E-86	49.6%	4	P:protein metabolic process; P:catabolic process; F:peptidase activity; P:transport		IPR003653; IPR004813; G3DSA:3.30.310.130 (GENE3D), PTHR22601 (PANTHER), tmhmm (TMHMM), SSF54001 (SUPERFAMILY)	
Be3_691	hypothetical protein BATDEDRAFT_24182	1639	5	2.56615E-24	51.8%	3	F:hydrolase activity; P:catabolic process; P:lipid metabolic process		IPR002921; G3DSA:3.40.50.1820 (GENE3D), tmhmm (TMHMM), SSF53474 (SUPERFAMILY)	
Be3_692	protein transporter sec24	1639	5	0.0	66.0%	10	C:cell; P:transport; P:ion transport; F:transporter activity; P:protein transport; F:binding; C:cytoplasmic membrane-bounded vesicle; C:Golgi apparatus; C:protein complex; P:biological_process	-	IPR004713; IPR004798; IPR004837; IPR006895; IPR006896; IPR006900; IPR012990; G3DSA:3.40.20.10 (GENE3D), G3DSA:3.40.50.410 (GENE3D), PTHR13803 (PANTHER), PTHR13803:SF0 (PANTHER), tmhmm (TMHMM), SSF53300 (SUPERFAMILY), SSF81995 (SUPERFAMILY), SSF82754 (SUPERFAMILY)	
Be3_693	chitin binding protein	1638	5	3.02358E-40	48.0%	3	F:carbohydrate binding; P:carbohydrate metabolic process; F:catalytic activity		IPR001002; IPR002509; IPR011330; IPR018371; PTHR10587 (PANTHER), PTHR10587:SF15 (PANTHER), tmhmm (TMHMM)	
Be3_694	---NA---	1637	0			0	-		no IPS match	
Be3_695	p-type atpase (p-atpase) superfamily	1637	5	6.03385E-131	59.8%	4	P:ion transport; C:cell; F:hydrolase activity; F:transporter activity		IPR001757; IPR023214; PTHR24093:SF85 (PANTHER), PF12710 (PFAM), PS01229 (PROSITE), tmhmm (TMHMM), SSF81665 (SUPERFAMILY)	
Be3_696	presenilin family protein	1635	5	7.27627E-69	53.6%	3	F:peptidase activity; C:cell; F:binding		IPR001108; IPR002893; IPR006639; IPR023214; IPR023298; PTHR13219 (PANTHER), tmhmm (TMHMM), SSF144232 (SUPERFAMILY), SSF81665 (SUPERFAMILY)	
Be3_697	excision repair cross-complementing rodent repair complementation group isoform cra_b	1635	5	1.20632E-67	50.0%	8	F:protein binding; F:hydrolase activity; C:nucleus; P:response to stress; P:catabolic process; P:DNA metabolic process; F:DNA binding; P:organelle organization	-	IPR000210; IPR011333; IPR013069; PTHR10150 (PANTHER)	
Be3_698	extracellular ligand-binding receptor	1635	5	3.8938E-25	46.2%	6	P:intracellular signal transduction; P:cyclic nucleotide biosynthetic process; F:phosphorus-oxygen lyase activity; P:amino acid transport; F:receptor activity; C:outer membrane-bounded periplasmic space		G3DSA:3.40.50.2300 (GENE3D), PTHR30483 (PANTHER), PTHR30483:SF0 (PANTHER), PF13458 (PFAM), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM), SSF53822 (SUPERFAMILY)	
Be3_699	pas domain s-box family protein	1634	5	8.62262E-26	53.6%	2	F:signal transducer activity; P:signal transduction		IPR000014; IPR013767; G3DSA:3.30.450.20 (GENE3D), PTHR10919 (PANTHER), PTHR10919:SF37 (PANTHER), tmhmm (TMHMM), SSF55785 (SUPERFAMILY)	
Be3_700	---NA---	1634	0			0	-		no IPS match	
Be3_701	delta-5 desaturase	1633	5	2.24746E-176	72.0%	6	F:catalytic activity; P:metabolic process; P:biosynthetic process; P:lipid metabolic process; C:cell; F:binding	-	IPR001199; IPR005804; IPR018506; PTHR19353 (PANTHER), PTHR19353:SF7 (PANTHER), tmhmm (TMHMM)	
Be3_702	chitin synthase 8	1633	5	0.0	62.8%	1	F:binding		IPR001199; IPR004835; G3DSA:3.90.550.10 (GENE3D), PTHR22914 (PANTHER), tmhmm (TMHMM), SSF53448 (SUPERFAMILY)	
Be3_703	duf1253 domain-containing protein	1633	5	8.26598E-112	55.0%	4	F:binding; P:lipid metabolic process; C:nucleus; P:metabolic process		IPR001199; IPR005804; IPR010678; IPR015876; IPR018506; G3DSA:3.40.50.300 (GENE3D), tmhmm (TMHMM)	
Be3_704	---NA---	1631	0			4	F:protein binding; F:receptor activity; P:signal transduction; C:cell		IPR000742; IPR003368; IPR006626; IPR011050; IPR012334; IPR013032; IPR017978; PTHR10519 (PANTHER), PTHR10519:SF5 (PANTHER), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM)	
Be3_705	hypothetical protein RO3G_15276	1630	5	8.80307E-68	51.2%	6	C:nucleus; P:DNA metabolic process; F:peptidase activity; P:protein metabolic process; P:catabolic process; F:nucleic acid binding		IPR000953; IPR001584; IPR001995; IPR012337; IPR016197; IPR018061; IPR021109; IPR023780; G3DSA:2.40.50.40 (GENE3D), G3DSA:3.30.420.10 (GENE3D), PTHR10178 (PANTHER), SSF56672 (SUPERFAMILY)	
Be3_706	---NA---	1630	0			1	F:protein binding		IPR000742; IPR003368; IPR006626; IPR011050; IPR013032; SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM)	
Be3_707	hypothetical protein BATDEDRAFT_35245	1629	5	4.83476E-53	49.8%	5	F:motor activity; F:nucleotide binding; C:cytoskeleton; C:protein complex; P:biological_process		IPR001752; IPR004853; IPR019821; PTHR24115 (PANTHER), tmhmm (TMHMM), SSF103481 (SUPERFAMILY), SSF52540 (SUPERFAMILY)	
Be3_708	probable got1-membrane protein required for er to golgi transport	1628	5	3.39213E-39	84.4%	4	P:transport; F:protein binding; F:binding; F:nucleotide binding	-	IPR001841; IPR006073; IPR007305; IPR013083; IPR015915; IPR017907; IPR018957; G3DSA:3.40.50.300 (GENE3D), PTHR21493 (PANTHER), PF13415 (PFAM), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM), SSF117281 (SUPERFAMILY), SSF52540 (SUPERFAMILY), SSF57850 (SUPERFAMILY)	
Be3_709	serine threonineprotein kinase snf1-like protein	1627	5	3.19633E-42	50.8%	2	F:signal transducer activity; P:signal transduction		IPR000014; IPR013767; G3DSA:3.30.450.20 (GENE3D), PTHR10919 (PANTHER), PTHR10919:SF187 (PANTHER), PF13426 (PFAM), SignalP-NN(euk) (SIGNALP), tmhmm (TMHMM), SSF55785 (SUPERFAMILY)	
Be3_710	---NA---	1626	0			0	-		no IPS match	
Be3_711	---NA---	1626	0			0	-		G3DSA:3.80.10.10 (GENE3D), SSF52047 (SUPERFAMILY)	
Be3_712	---NA---	1625	0			0	-		IPR008985; PTHR22835 (PANTHER), PTHR22835:SF74 (PANTHER), tmhmm (TMHMM)	
Be3_713	oxoglutarate dehydrogenase (succinyl-transferring) e1 component	1624	5	0.0	76.6%	7	F:catalytic activity; P:generation of precursor metabolites and energy; P:catabolic process; F:binding; ; C:intracellular; C:protein complex		IPR001017; IPR004000; IPR005475; IPR011603; G3DSA:3.30.420.40 (GENE3D), G3DSA:3.40.50.970 (GENE3D), PTHR23152:SF0 (PANTHER), SSF52518 (SUPERFAMILY), SSF53067 (SUPERFAMILY)	
Be3_714	---NA---	1624	0			1	F:protein binding		IPR002110; IPR020683; PTHR24188 (PANTHER)	
Be3_715	coiled-coil domain-containing protein 65-like	1623	5	1.22543E-80	63.4%	0	-		PTHR21625 (PANTHER), PTHR21625:SF0 (PANTHER)	
Be3_716	hypothetical protein BATDEDRAFT_92727	1622	3	8.49039E-13	44.67%	0	-		IPR002861; PTHR20891 (PANTHER), tmhmm (TMHMM)	
